company,ac_favorite,ac_forward,ac_twenum,en_favorite_before,en_forward_before,en_twenum_before,en_favorite_after,en_forward_after,en_twenum_after,favorite_before,forward_before,twenum_before,favorite_after,forward_after,twenum_after,en_favorite,en_forward,en_twenum,favorite,forward,twenum,acc.owner,founded_on_year,seed_year,teamsize,co,total_funding_usd
overinteractive-media,9,0,302,6,0,553,4,2,48,0,0,7,5,0,18,-2,2,-505,5,0,17,bootup-labs,2008,2009,1,8,138533
protoexchange,307,383,136,42,70,362,11,20,16,42,70,362,9,47,16,-31,-50,-346,-33,-23,7,techstars,2012,2013,2,489,133000
zootrock,9877,9787,655,90,44,334,36,5,50,31,11,138,36,-4,104,-54,-39,-284,5,-15,74,500-startups,2013,2014,1,267,110000
travelatus,240,476,821,59,30,286,14,4,64,4,4,46,6,-1,1,-45,-26,-222,2,-5,1,startupyard,2011,2013,2,22,10000
edoome,5,11,7,1,10.66666667,141.3333333,1.666666667,2,12.33333333,1,8,11,4,6,3,0.666666667,-8,-129,3,-2,3,imagine-k12,2012,2012,3,66,200000
fashion-metric,8739,7925,2082,230,59,120,10,0,0,25,11,9,0,11,0,-220,-59,-120,-25,0,0,techstars,2012,2014,1,489,1418000
formisimo,1103,1619,536,131,64,215.5,119,54,97,42,31,84,115,32,121,-12,-10,-118.5,73,1,12,seedcamp,2013,2014,2,118,1172451
meddik,66,281,422,1,3,151,17,39,39,2,5,5,4,28,0,16,36,-112,2,23,0,blueprint-health-accelerator,2012,2012,1,39,750000
studysoup,16886,16451,1127,31,11,110,15,0,0,15,8,35,8,5,0,-16,-11,-110,-7,-3,0,500-startups,2012,2014,1,267,100000
clarify-inc,7559,6998,1994,64.5,59,109,10,0,0,2,7,5,7,-17,0,-54.5,-59,-109,5,-24,0,techstars,2014,2014,2,489,1315000
lockerdome,0,22,100,0,9,148,5,7,40.66666667,0,0,0,15,0,109,5,-2,-107.3333333,15,0,99,capital-innovators,2008,2011,4,40,18093000
openera,212,1644,1295,22.5,19.5,145.5,14,8,45.5,0,23,39,11,23,36,-8.5,-12,-100,11,0,29,founderfuel,2011,2012,3,37,250000
sendwithus,11392,12874,1848,81.66666667,61.66666667,140,62.33333334,14,40.33333333,40,58,118,30,58,28,-19.33333333,-48,-99.66666667,-10,0,4,y-combinator,2013,2014,3,747,2300000
sendwithus,11392,12874,1848,81.66666667,61.66666667,140,65.33333334,14,40.33333333,40,58,118,30,40,28,-16.33333333,-48,-99.66666667,-10,-18,4,y-combinator,2013,2014,3,747,2300000
cortex,4,13,12,12,14,99,5,1,4,5,7,64,3,6,6,-7,-13,-95,-2,-1,5,i-o-ventures,2010,2011,2,16,0
lumoid,3005,3706,538,27.5,36,110,22,7,22,0,0,0,5,-10,50,-5.5,-30,-88,5,-10,46,y-combinator,2013,2013,2,747,0
hively,3,18,55,1,5,151,1,5,64,0,4,31,8,6,47,0,0,-87,8,2,45,portland-seed-fund,2011,2011,1,23,25000
ranku,2576,2830,1139,79.5,35,106,30.5,9,27,9,11,17,2,4,0,-49,-26,-79,-7,-7,0,techstars,,,2,489,1400000
bizpora,117,1021,575,24,43,130,12,1,56,24,43,130,14,43,56,-12,-42,-74,-10,0,47,ignite-accelerator,2012,2013,1,30,40000
fluency,118,557,451,30,37,116,28,16,43,0,0,0,38,-2,52,-2,-22,-73,38,-2,16,bethnal-green-ventures,2013,2013,2,33,207358
keego,2771,2387,2371,60,25,73,6,0,0,3,2,3,0,-11,0,-54,-25,-73,-3,-13,0,the-brandery,2014,2014,1,44,20000
quotadeck-com-odesk-elance-for-salespeople,8940,8079,2102,128,22,73,11,0,0,16,5,11,6,3,0,-117,-22,-73,-10,-2,0,techstars,2014,2014,1,489,0
pixel-press,155,436,889,21.75,26.25,87.25,8.75,4,18.25,67,307,225,54,307,44,-13,-22,-69,-13,0,-9,capital-innovators,2013,,4,40,932150
bawte,7082,6631,1951,82,19,68,9,0,0,6,3,14,5,2,0,-73,-19,-68,-1,-1,0,techstars,2011,2014,1,489,220000
prevoty,235,510,500,32,19,80,16,8,16,0,0,0,7,2,19,-16,-11,-64,7,2,14,launchpadla,2013,2013,2,26,11127000
wemontage,195,523,513,16,18,108,18,6,49,0,0,0,117,0,364,2,-12,-59,117,0,249,gener8tor,2012,2013,2,28,410000
99dresses,1634,2099,347,2,9,77,9,17,18,4,17,73,3,27,3,7,8,-59,-1,10,3,y-combinator,2010,2012,1,747,105651
yogatrail,13733,13502,905,116,83,157,170,181,98,116,83,157,315,119,193,54,98,-59,199,36,-119,500-startups,2012,2014,2,267,640000
icracked,1655,2142,351,2,5.5,67,8,4,9,3,9,120,11,17,9,6,-2,-58,8,8,5,y-combinator,2010,2012,2,747,0
jukely,905,1061,476,156.3333333,109.6666667,235.3333333,235.75,84,178.25,40,126,88,847,117,90,79.41666667,-26,-57.08333333,807,-9,-749,techstars,2012,2013,4,489,3300000
collegezen,157,1335,1307,3,8,108,14,2,53,1,6,38,6,6,0,11,-6,-55,5,0,0,alphalab,2012,2012,1,66,25000
impraise,10028,9992,1234,22,7,53,12,0,0,1,1,4,8,1,0,-10,-7,-53,7,0,0,y-combinator,2014,2014,3,747,120000
tray,53,204,58,5,8.333333333,91.33333333,8.333333333,3,38.33333333,2,4,61,7,4,0,3.333333333,-6,-53,5,0,0,angelpad,2012,2012,3,98,2199999
meldium,3985,4782,701,8.5,14.5,61.5,8.5,1,8.5,23,44,40,6,44,12,0,-14,-53,-17,0,10,y-combinator,2012,2013,3,747,1000000
smart-host,14459,12292,2602,53,13,49.5,13,0,0,10,5,6,4,3,0,-40,-13,-49.5,-6,-2,0,techstars,2014,2015,2,489,0
aire,6094,5954,1866,25,25,66,30,0,17,23,7,46,30,7,39,5,-25,-49,7,0,11,techstars,2014,2014,1,489,1400000
knodium,161,806,1065,0,6,66,5,11,19,0,0,0,3,0,1,5,5,-47,3,0,1,springboard,2012,2012,1,32,270000
chroma-games,8354,7552,2058,53,8,46.5,9,0,0,4,0,3,3,-3,0,-44,-8,-46.5,-1,-3,0,techstars,2013,2014,2,489,0
whimseybox,139,714,379,6,6,117,8,2,71,0,0,0,9,0,40,2,-4,-46,9,0,35,excelerate-labs-2,2011,2012,1,30,75000
weaverlabs,696,879,869,3.5,5.5,46,2,0,0,0,0,2,8,5,0,-1.5,-6,-46,8,5,0,amplify-la,2013,2014,3,31,100000
enhatch,78,348,483,1,4,91,10,0,46,0,2,6,7,2,0,9,-4,-45,7,0,0,blueprint-health-accelerator,2012,2012,4,39,250000
concert-window,3842,4195,1552,31,16,74,73,54,30,31,16,74,67,30,30,42,38,-44,36,14,-35,techstars,2010,2014,1,489,415000
tapfame,25,115,144,1,1.5,59,3.5,1,15.5,0,0,0,1,7,9,2.5,-1,-43.5,1,7,9,er-accelerator,,,2,20,25000
olapic,0,0,5,2.666666667,19.66666667,83,6,2,41,0,5,20,3,-1,10,3.333333333,-17,-42,3,-6,10,nyc-seedstart,2010,2011,3,21,6000000
lessonwriter,112,598,535,0,1,42,5,0,1,1,0,8,2,0,0,5,-1,-41,1,0,0,betaspring,2008,2012,2,71,50000
gruvit,138,290,483,1,5,85,5,0,44,3,8,50,5,11,2,4,-5,-41,2,3,0,eleven,2013,2013,2,51,33174
spoil,15448,14689,1526,6,4,40.66666667,14,0,0,6,6,39,6,12,0,8,-4,-40.66666667,0,6,0,y-combinator,2014,2015,3,747,120000
thumbs-up,112,598,535,2,8,46,3,0,6,0,0,6,3,6,0,1,-8,-40,3,6,0,betaspring,2011,2012,1,71,50000
atticous,43,504,944,1.5,5,125.5,4,5,86,0,3,3,5,8,0,2.5,0,-39.5,5,5,0,tech-wildcatters,2011,2012,2,26,25000
sqrl,1401,1421,1744,37,4,65,25,6,26,15,22,68,47,32,112,-12,2,-39,32,10,67,the-brandery,2013,2014,1,44,550000
onename,10028,9992,1234,42,13.33333333,38.66666667,11,0,0,2,1,1,4,-2,0,-31,-13,-38.66666667,2,-3,0,y-combinator,2014,2014,3,747,1620000
stiqrd,1,35,88,0,3,47,1,1,9,3,21,118,5,27,124,1,-2,-38,2,6,123,seed-hatchery,,,3,18,15000
factor-io,820,1001,446,31,10,51,8,2,13,21,35,39,4,34,4,-23,-8,-38,-17,-1,3,techstars,2012,2013,1,489,145000
brightfunnel,0,1,3,10,3.5,72.5,12,3,35,0,0,0,10,9,4,2,-1,-37.5,10,9,1,alchemist-accelerator,2012,2013,3,90,3198000
material-mix,8,74,366,1,1,88,5,2,51,0,5,8,5,14,40,4,1,-37,5,9,37,capital-innovators,2011,2012,2,40,140000
shout-app,10028,9992,1234,30,3,37,12,0,0,79,21,62,5,25,0,-18,-3,-37,-74,4,0,y-combinator,2013,2014,1,747,120000
socialcrunch,425,549,238,29,6,78,15,4,41,154,439,404,21,445,88,-14,-2,-37,-133,6,68,techstars,2012,2013,2,489,0
hullabalu,441,569,256,29,8,69,48,7,33,2,1,5,17,4,6,19,-1,-36,15,3,-8,techstars,2012,2013,3,489,3950000
appaddictive,73,311,381,0,0,36,1,1,1,0,0,33,2,0,16,1,1,-35,2,0,15,dreamit-ventures,2011,2011,2,139,1200000
keeprecipes,70,281,362,0,6,80,6,4,45,0,1,16,8,7,14,6,-2,-35,8,6,14,dreamit-ventures,2011,2011,1,139,0
42floors,1140,1328,263,3.25,6,45,2.8,4,10,1,3,1,4,12,6,-0.45,-2,-35,3,9,5,y-combinator,2011,2011,7,747,17400000
tinybeans,258,910,1091,13,5,35,2,0,0,3,4,7,1,4,0,-11,-5,-35,-2,0,0,pushstart,2012,2014,2,8,1751957
atlas-powered,97,307,401,0,7,37,4,0,3,0,7,37,1,9,3,4,-7,-34,1,2,3,launchpadla,2011,2012,1,26,700000
pictorious,25,115,144,3,5,45,2,1,11.5,0,3,2,3,3,5,-1,-5,-33.5,3,0,2,er-accelerator,2011,2012,2,20,25000
audioname,3,18,54,2,10,42,5,3,10,4,15,155,9,14,13,3,-7,-32,5,-1,12,portland-seed-fund,2011,2011,1,23,85000
comvibe,56,539,713,2,3,45,3,1,14,0,0,1,0,0,0,1,-2,-31,0,0,0,alphalab,2011,2011,1,66,25000
doordash,3005,3706,538,4,12,36,12,11,5,0,0,0,12,7,14,8,-1,-31,12,7,4,y-combinator,2013,2013,1,747,19700000
slidebean,196,1047,1023,7,7.5,55.5,18.33333333,9,24.66666667,0,0,0,12,4,34,11.33333333,1,-30.83333333,12,4,23,dreamit-ventures,2013,2013,3,139,200000
adyapper-com,1688,1863,805,95.66666667,78,176,207,102,145.6666667,2,0,5,11,0,10,111.3333333,24,-30.33333333,9,0,5,techstars,2010,2013,5,489,2200000
ginzametrics,62,78,39,0,1,53,8,14,23,0,0,16,1,7,16,8,13,-30,1,7,15,y-combinator,2010,2010,2,747,1714000
pocket-tales,26,110,175,1,2,43.5,2,4,13.5,2,3,22,8,3,2,1,2,-30,6,0,2,dreamit-ventures,2009,2010,2,139,0
wideo,14961,14655,1003,37,44,33,61,15,4,15,9,83,28,-1,40,24,-29,-29,13,-10,19,500-startups,2012,2014,1,267,460000
audience-fm,62,230,62,5,4,38,5,0,9.5,0,0,1,4,4,0,0,-4,-28.5,4,4,0,angelpad,2013,2013,3,98,0
the-backscratchers,163,818,1087,2,5,43,10,2,15,0,0,1,10,4,2,8,-3,-28,10,4,0,springboard,2012,2012,1,32,23911
augment,88,558,300,7,14,42,7,12,14,7,14,42,5,14,14,0,-2,-28,-2,0,12,le-camping,2011,2013,4,48,1800000
mammoth,102,304,81,33.66666667,5.666666667,27.33333333,3,0,0,90,27,91,2,25,0,-30.66666667,-6,-27.33333333,-88,-2,0,angelpad,2014,2015,3,98,0
mineful,35,333,760,0.5,1.5,45,3,0,18,0,7,13,9,7,15,2.5,-2,-27,9,0,12,tech-wildcatters,2009,2011,2,26,25000
dialective,93,746,957,4,26,32,9,9,5,4,26,32,11,21,5,5,-17,-27,7,-5,0,oxygen-accelerator,2013,2013,2,24,129454
screwpulp-publishing,63,425,562,14,17.5,84,14.5,10,57.5,7,18,58,20,24,56,0.5,-8,-26.5,13,6,40,seed-hatchery,2013,2013,3,18,345000
turnstyle-analytics,436,879,1547,6,5,45,5,0,19,5,12,34,36,11,19,-1,-5,-26,31,-1,-16,jolt,2012,2014,1,17,2335703
backpack,10028,9992,1234,12,2,26,11,0,0,12,2,26,2,10,0,-1,-2,-26,-10,8,0,y-combinator,2014,2014,1,747,120000
cloudbot,19,41,10,0,5,28.5,4,1,3,0,7,31,7,5,0,4,-4,-25.5,7,-2,0,angelpad,2010,2011,3,98,1220000
intelclinic,45,336,698,7,1,51,29,6,26,0,0,0,16,6,18,22,5,-25,16,6,9,gammarebels,2013,2013,2,14,508573
shuttercal,246,1380,1274,4,2,68.5,13,11,43.5,4,2,98,10,2,42,9,9,-25,6,0,38,betaspring,2013,2013,2,71,52000
iptvbeat,834,1011,452,17,17,30,10.5,4,5.5,0,7,21,7,7,17,-6.5,-14,-24.5,7,0,14,techstars,2013,2013,2,489,2370000
hull,320,296,120,11,8.666666667,48.33333333,12,5,24,12,30,48,16,29,52,1,-4,-24.33333333,4,-1,36,techstars,2013,2013,6,489,0
hull,320,296,120,11,8.666666667,48.33333333,10,5,24,12,30,48,23,32,52,-1,-4,-24.33333333,11,2,36,techstars,2013,2013,6,489,0
retention-science,105,277,175,40,11,73.5,25,18,49.5,76,17,95,18,22,35,-15,7,-24,-58,5,23,muckercapital,2011,2013,2,27,9500000
wappzapp,169,251,525,4.5,8,35.5,7.5,2,12,1,9,31,14,9,71,3,-7,-23.5,13,0,57,startup-wise-guys,2011,2013,2,24,650000
now-in-store,319,2122,1618,14,6,65,33,8,42,0,0,0,19,4,16,19,2,-23,19,4,5,founderfuel,2013,2013,1,37,49342
memsql,1049,1218,244,5.666666667,10,126.3333333,16,26,103.3333333,0,0,0,10,17,8,10.33333333,16,-23,10,17,6,y-combinator,2011,2011,6,747,45000000
partpic,11,14,26,21.5,12.5,23,2,0,0,0,0,1,6,0,0,-19.5,-13,-23,6,0,0,nyc-seedstart,2013,2014,2,21,0
reclip-it,30,100,300,1,1,26,4,0,4,0,0,0,4,5,112,3,-1,-22,4,5,109,launchbox-digital,2012,2011,1,24,840000
the-fridge,200,254,93,0,1,51,5,1,29,0,1,1,5,8,91,5,0,-22,5,7,86,y-combinator,2010,2010,1,747,0
craftcoffee,1140,1328,263,0,6,31,3,0,9,0,2,16,32,2,185,3,-6,-22,32,0,155,y-combinator,2010,2011,1,747,320000
stylyt,35,162,192,0.5,1.5,35.5,5.5,0,13.5,6,19,10,8,19,27,5,-2,-22,2,0,24,er-accelerator,2011,2012,2,20,0
naytev,10028,9992,1234,11,9,21.66666667,9,0,0,3,8,12,8,5,0,-2,-9,-21.66666667,5,-3,0,y-combinator,2014,2014,4,747,120000
triple-lift,25,118,146,0,2.5,33.5,1.5,3,12,0,0,0,15,1,47,1.5,0,-21.5,15,1,38,er-accelerator,2012,2012,4,20,6125000
chute,1061,1238,247,1.5,7.5,67,8,7,46.33333333,0,6,14,8,6,11,6.5,-1,-20.66666667,8,0,10,y-combinator,2011,2011,3,747,12719997
scholrly,196,1219,1140,3,16,24,6.5,2,3.5,1,15,27,7,15,1,3.5,-14,-20.5,6,0,1,betaspring,2011,2012,2,71,50000
tradesy,92,293,392,1,4,22,6,1,2,0,0,1,12,0,52,5,-3,-20,12,0,41,launchpadla,2012,2012,1,26,44500000
humanapi,102,304,81,19,4,20,3,0,0,0,0,1,1,2,0,-16,-4,-20,1,2,0,angelpad,2013,2015,2,98,6624982
col-tris,11047,9681,2349,14,4,20,11,0,0,1,0,6,8,1,0,-3,-4,-20,7,1,0,techstars,2013,2014,2,489,118000
agentdesks,102,304,81,3,1,20,2,0,0,128,21,186,4,25,0,-1,-1,-20,-124,4,0,angelpad,2014,2015,1,98,0
padlet,1655,2142,351,2,1,22,4.5,1,3,0,1,5,14,8,76,2.5,-1,-19,14,7,70,y-combinator,2008,2012,3,747,720000
keychain-logistics,2802,3432,504,1,1,32,13.5,6,13,0,0,0,10,12,11,12.5,5,-19,10,12,3,y-combinator,2012,2013,2,747,2520000
big-launcher,1129,2823,607,6,9,162,19,9,143,1,2,3,6,2,1,13,0,-19,5,0,1,wayra,2011,2013,1,48,122738
neighbor-ly,10720,10486,706,31,22.2,35.2,23.2,3,16.8,17,18,28,26,18,27,-7.8,-19,-18.4,9,0,5,500-startups,2012,2014,7,267,295000
bonfyre,0,34,249,0,0,22,4,0,4,0,0,0,29,1,212,4,0,-18,29,1,190,capital-innovators,2012,2012,3,40,2980000
sedicii,225,976,1303,5,12,24,3,1,6,2,1,33,11,-4,39,-2,-11,-18,9,-5,30,oxygen-accelerator,2013,2013,1,24,0
jobspotting,130,133,293,12,15,28,10,1,11,0,0,0,6,0,1,-2,-14,-17,6,0,1,axel-springer-plug-and-play-accelerator,2013,2013,2,25,33793
rigetti-computing,8528,8722,1127,52,33,17,10,0,0,0,0,0,10,-7,4,-42,-33,-17,10,-7,0,y-combinator,2013,2014,1,747,0
designlab,1215,1292,590,7,10,55,11,2,38,8,6,10,10,5,6,4,-8,-17,2,-1,1,techstars,2013,2013,1,489,150000
statuspage,3444,4122,609,5.666666667,3.666666667,41,12,4,24.5,13,5,22,10,9,26,6.333333333,0,-16.5,-3,4,20,y-combinator,2013,2013,3,747,100000
lanyrd,1140,1328,263,98.5,191,66.5,47,77,50,31,41,16,39,41,27,-51.5,-114,-16.5,8,0,-6,y-combinator,2011,2011,2,747,1400000
indico-data-solutions,3003,3380,1320,6,1,19,6.333333333,1,2.666666667,0,0,0,18,3,8,0.333333333,0,-16.33333333,18,3,-6,techstars,2013,2014,6,489,3179000
chart-io,114,160,59,1,0,22,1,0,6,0,0,1,6,2,29,0,0,-16,6,2,28,y-combinator,2010,2010,1,747,6770000
vinylmint,0,38,30,1,16,41,7,4,25,1,16,41,8,17,25,6,-12,-16,7,1,21,hatch-norfolk,2011,2012,1,5,10000
captureproof,425,549,238,12,1,27,7,7,11,12,1,27,6,1,11,-5,6,-16,-6,0,6,techstars,2012,2013,1,489,1200000
spotsetter,33,116,38,2.5,2,20.5,5.666666667,1,4.666666667,0,0,0,2,0,1,3.166666667,-1,-15.83333333,2,0,1,angelpad,2011,2012,4,98,1300000
sketchdeck,5696,6437,924,6,6.5,20,8.5,0,4.5,4,1,14,4,2,6,2.5,-7,-15.5,0,1,6,y-combinator,2013,2014,2,747,500000
wedeliver,3151,3532,1353,50,29,61,61.5,21,45.5,27,35,64,35,38,53,11.5,-9,-15.5,8,3,19,techstars,2013,2014,2,489,800000
pathgather,11211,9852,2364,10,3,15,11,0,0,14,15,67,1,22,0,1,-3,-15,-13,7,0,techstars,2012,2014,2,489,1500000
divshot,64,239,335,7.5,18,37,12,9,22,188,63,108,126,64,49,4.5,-9,-15,-62,1,-74,launchpadla,2012,2012,2,26,1180000
watchsend,3619,4352,639,24.5,5.5,28.5,44.5,5,14.5,0,0,0,23,0,11,20,-1,-14,23,0,-4,y-combinator,2013,2013,2,747,0
5minutes,155,775,1036,2,1,44,2,2,31,0,0,0,7,2,3,0,1,-13,7,2,3,springboard,2011,2012,1,32,15873
publet,102,304,81,2,6,13,5,0,0,0,2,4,3,8,0,3,-6,-13,3,6,0,angelpad,2014,2015,1,98,0
fishbrain,18,36,26,5,15,26,24,6,13,0,0,1,19,0,4,19,-9,-13,19,0,-8,seedcamp,2010,2013,1,118,2400000
lawn-love,13293,12678,1432,6,1,13,16,0,0,0,0,5,2,6,0,10,-1,-13,2,6,0,y-combinator,2014,2014,1,747,1900000
sendhub,1733,2267,359,2,5,31,7,4,18,7,21,35,3,21,5,5,-1,-13,-4,0,4,y-combinator,2011,2012,1,747,10000000
strap,2771,2387,2371,15.5,6,13,5,0,0,52,64,26,3,67,0,-10.5,-6,-13,-49,3,0,the-brandery,2014,2014,2,44,1220000
bespoke-post,5,28,67,0.666666667,1,26.66666667,2.333333334,1,14,0,0,0,8,1,20,1.666666667,0,-12.66666667,8,1,19,er-accelerator,2011,2011,3,20,875000
springbot,39,180,126,1,4,16,3.5,4,3.5,0,0,1,19,6,62,2.5,-1,-12.5,19,6,44,flashpoint-at-georgia-tech,2012,2013,2,38,4000000
teespring,1331,1692,296,0,0.5,25.5,7.333333333,2,13.33333333,0,0,0,11,5,58,7.333333333,2,-12.16666667,11,5,49,y-combinator,2011,2012,4,747,56875000
sleep-fm,0,0,3,0,0,64,3,0,52,0,0,0,7,1,1,3,0,-12,7,1,1,dreamit-ventures,2006,2008,1,139,15000
zoomtilt,272,1435,1327,12.5,30,80,57.5,51,68.5,23,49,127,12,49,17,45,21,-11.5,-11,0,8,betaspring,2013,2013,2,71,88000
orchestrate-io,257,738,1001,18,17.2,53.4,39.2,13,42,2,5,7,78,8,56,21.2,-4,-11.4,76,3,-15,pie,2013,2013,5,30,3020000
tidal,0,0,3,0,0,19.5,4.333333333,0,8.333333333,0,0,0,2,9,9,4.333333333,0,-11.16666667,2,9,8,dreamit-ventures,2011,2009,3,139,500000
bugcrowd,75,474,126,7,13,49,19,3,38,0,0,0,113,-3,172,12,-10,-11,113,-3,67,startmate,2012,2012,1,21,7650000
xendo,27,44,54,6,6,24,6,2,13,0,0,18,10,6,11,0,-4,-11,10,6,4,alchemist-accelerator,2013,2014,2,90,28000
lettuce,87,283,387,4,4,22.5,8.5,2,11.5,0,0,1,24,0,23,4.5,-3,-11,24,0,3,launchpadla,2012,2012,3,26,3100000
goodapril,160,148,60,10,2,11,2,0,0,1,0,3,5,4,0,-8,-2,-11,4,4,0,techstars,2012,2013,1,489,118000
specifiedby,703,2457,1269,2,0,16,3,0,5,26,42,97,10,51,19,1,0,-11,-16,9,13,ignite-accelerator,2013,2014,1,30,189406
sproutel,112,598,535,1.333333333,4,17.66666667,1.5,2,7,0,3,13,5,9,14,0.166666667,-3,-10.66666667,5,6,14,betaspring,2012,2012,3,71,278000
filament-labs,1215,1292,590,6,2,14.5,7.5,3,4,6,15,22,20,15,14,1.5,1,-10.5,14,0,-1,techstars,2013,2013,2,489,1155000
carhoots-com,106,777,998,4,2.333333333,21,25.66666667,14,10.66666667,0,0,0,86,10,162,21.66666667,12,-10.33333333,86,10,82,oxygen-accelerator,2012,2013,3,24,240000
pictarine,139,714,379,5,6,100,24,8,90,0,0,4,8,7,6,19,2,-10,8,7,1,excelerate-labs-2,2010,2012,1,30,75000
hirecanvas,102,304,81,7,4,10,3,0,0,0,0,1,3,6,0,-4,-4,-10,3,6,0,angelpad,2014,2015,2,98,0
swipegood,735,912,205,0,1,10,5,0,0,0,6,22,6,6,0,5,-1,-10,6,0,0,y-combinator,2010,2011,1,747,500000
snipsnap-app,113,579,641,0.25,3.75,11.75,2,1,2.5,5,18,18,2,16,36,1.75,-3,-9.25,-3,-2,35,dreamit-ventures,2011,2012,4,139,2845000
saberr,42,110,50,0.5,1,12.5,0.5,1,3.5,1,2,5,2,9,2,0,-1,-9,1,7,1,seedcamp,2013,2013,2,118,1200000
onemorepallet,116,408,896,0,0,10,1,0,1,3,2,34,11,4,17,1,0,-9,8,2,13,uptech-fund,2012,2013,2,8,775000
radpad,183,509,647,12.5,5.5,29.5,24,9,20.5,6,11,22,58,16,100,11.5,4,-9,52,5,46,amplify-la,2013,2013,2,31,3800000
whim-2,14938,14638,998,9,5,9,15,0,0,7,6,34,7,6,0,6,-5,-9,0,0,0,500-startups,2013,2014,1,267,200000
alpinereplay,280,583,729,6,0,12,4,0,3,13,5,94,6,5,2,-2,0,-9,-7,0,2,amplify-la,2010,2014,1,31,2132731
dotcloud,190,243,91,1,4,76.33333333,3.5,7,67.5,0,0,0,60,5,63,2.5,3,-8.833333333,60,5,6,y-combinator,2008,2010,4,747,28679147
blueroof-360,16,186,331,0,0.5,9.5,3,0,1,0,0,5,1,2,1,3,-1,-8.5,1,2,1,boomstartup,2008,2012,2,28,550000
hireart,1219,1481,277,1,2,12,2,0,3.5,0,0,0,10,0,17,1,-2,-8.5,10,0,14,y-combinator,2012,2012,3,747,1400000
happy-inspector,47,288,108,2,3,22.5,7,3,14,1,1,6,7,4,9,5,0,-8.5,6,3,9,startmate,2011,2012,2,21,3676000
checkr,10028,9992,1234,1.5,1,8.5,12,0,0,1,1,6,4,6,0,10.5,-1,-8.5,3,5,0,y-combinator,2014,2014,2,747,9120000
teddy-the-guardian,42,110,50,2.5,0,14.5,8,1,6,4,6,10,5,6,0,5.5,1,-8.5,1,0,0,seedcamp,2013,2013,2,118,400000
carelulu,24770,24211,1522,11,2,8.5,21,0,0,11,11,32,1,11,0,10,-2,-8.5,-10,0,0,500-startups,2013,2014,2,267,1700000
ninja-blocks,99,635,138,7.8,15,19.4,16,14,11.2,7,6,43,4,12,5,8.2,-1,-8.2,-3,6,2,startmate,2012,2013,5,21,2402000
playerize,25,354,385,0,0,10,4,1,2,0,0,3,5,0,150,4,1,-8,5,0,149,founderfuel,2012,2012,1,37,1000000
heykiki,196,1047,1024,0,0,11,4,0,3,0,0,11,6,5,3,4,0,-8,6,5,3,dreamit-ventures,2009,2013,1,139,0
flightfox,1860,2512,378,2,5,20,10,13,12,0,2,3,13,11,23,8,8,-8,13,9,15,y-combinator,2012,2012,1,747,800000
surroundsme,75,117,186,1.333333333,1,13,8,4,5,3,3,3,7,6,0,6.666666667,3,-8,4,3,0,blue-startups,2013,2013,3,10,20000
