cad0,cad1,cad2,cad3,cad4,cad5,cad6,cad7,cad8,cad9,dv0,dv1,dv2,dv3,dv4,dv5,dv6,dv7,dv8,dv9,y
1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,454
1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,454
1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,152
1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,-142
1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,-227
1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,-131
1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,-204
1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,-288
1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,64
1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,-134
1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,122
1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,54
1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,267
1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,122
1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,-104
1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,-10
1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,-78
1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,119
1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,98
1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,-326
1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,-191
1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,124
1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,108
1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,-104
1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,-156
1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,-106
1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,10
1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,-190
1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,129
1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,103
